tweet_id,date,location,bounding_box,lang,text,important_tweet,original_text,emoji,hastag
1327922660056162304,Sun Nov 15 10:33:28 +0000 2020,,empty,fr,jour n’arrêtera rue redevient rue,1,"RT @VincentCespedes: Chaque jour, un peu plus. Ça n’arrêtera que si la rue redevient la rue. #neoresistance",,neoresistance
1327899139586232322,Sun Nov 15 09:00:00 +0000 2020,"France, Paris",empty,fr,boulangerie 100m dois-je remplir attestation oui sortie nécessite attestation puissiez indiquer motif sortie cas contrôle policiers déployés paris,2,"#COVID19 |❓🥖 Je vais à la boulangerie à 100m de chez moi. Dois-je remplir une attestation ? 📄 Oui, toute sortie nécessite une attestation pour que vous puissiez indiquer votre motif de sortie en cas de contrôle ! Les policiers déployés sont nombreux aujourd'hui à Paris. https://t.co/eNPJv5AlQo",❓🥖📄,covid19
1327922660441993216,Sun Nov 15 10:33:28 +0000 2020,,empty,fr,tendance lutte inégalités,1,"👆https://t.co/JGmfbM6R8k  Tendance, la lutte contre les inégalités. #Vaccin #vaccine #COVAX #BioNTech #MelindaGates… https://t.co/4BaQNvInPp",👆,vaccin vaccine covax biontech melindagates
1327922661310296064,Sun Nov 15 10:33:28 +0000 2020,beyoncé's kitchen,empty,fr,croyez passer sérieusement,1,RT @Poulin2012: Ah mais vous croyez que ça va passer? sérieusement ? https://t.co/g9pfgBIOFF,,
1324629606792646662,Fri Nov 06 08:28:03 +0000 2020,Luxembourg,empty,fr,crise constitué véritable accélérateur  fonds distinguent écarts performances importants faveur,1,— #FinanceDurable —  La crise du #Covid19 a constitué un véritable accélérateur : les fonds #ESG se distinguent par des écarts de performances plus importants en leur faveur.  https://t.co/oxt8uKyI6g https://t.co/NyRXxAdT2a,,financedurable covid19 esg
1327689401200218120,Sat Nov 14 19:06:35 +0000 2020,Savoie,empty,fr,charge crs faire respecter laïcité tabasser lycéens mettre gosses ans garde vue monde,2,Bah alors @GDarmanin elle est où la charge de CRS pour faire respecter la laïcité ? Pour tabasser des lycéens et mettre des gosses de 10 ans en garde à vue y a du monde hein...,,
1327866887968055304,Sun Nov 15 06:51:51 +0000 2020,,empty,fr,ans guignols l’info disparu écrans pourtant l'époque traitait canal complotiste,21,"Cela fait plus de 2 ans que les Guignols de l’info ont disparu de nos écrans, et pourtant à l'époque personne ne traitait Canal + complotiste. https://t.co/5gw4AmLxUI",,
1327740220176011264,Sat Nov 14 22:28:31 +0000 2020,Dans une autre dimension,empty,fr,clash député confirmé faux certificats » décès indiquaient malades l’avaient jamais contracté surmortalité covid machination gvt effrayer contraindre,1,"❌[CLASH] Le député @doorjean a bien confirmé que des ""faux certificats » de décès indiquaient #Covid alors que les malades ne l’avaient jamais contracté   ⚠️La surmortalité Covid est bien une machination du GVT pour nous effrayer et nous contraindre",❌⚠,covid
1327922672974618626,Sun Nov 15 10:33:31 +0000 2020,,empty,fr,bouge nice marche arrière,1,RT @HAntoine11: Ça bouge bien à Nice. On y va ! Pas de marche arrière !,,
1327922678209122304,Sun Nov 15 10:33:32 +0000 2020,,empty,fr,bienvenue absurdie,1,RT @RTenfrancais: #Covid19 : bienvenue en Absurdie  #DieZeit https://t.co/XHzLpFzl71,,covid19 diezeit
1327891448956674049,Sun Nov 15 08:29:27 +0000 2020,"Montpellier, France",empty,fr,paralysés peur choper virus emprisonnés lois d'exceptions imposées démocratie poignarder sortirions manifester colère,1,"Voilà. Ils ont bien attendu que nous soyons paralysés par la peur de choper un virus et emprisonnés chez nous par des lois ""d'exceptions"" imposées hors de toute démocratie, pour nous poignarder dans le dos, certains que nous ne sortirions pas manifester notre colère cette fois.",,
1327672866557538304,Sat Nov 14 18:00:53 +0000 2020,Gentilly,empty,fr,budget sécurité sociale 19h majorité sénat rentrer amendement réforme retraites rejetée français report l’âge départ allonger durée cotisations choquant pleine crise,125,Budget de la sécurité sociale : à 19h la majorité de droite du sénat fait rentrer par un amendement la réforme des retraites rejetée par les Français : report de l’âge de départ et allonger la durée des cotisations. Très choquant en pleine crise #COVID19. https://t.co/QeI8BtNpIM,,covid19
1327922690045435905,Sun Nov 15 10:33:35 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,RT @S_LeGoff: Je n’ose imaginer les réactions si cela avait été des musulmans devant une mosquée,,
1327922691588960256,Sun Nov 15 10:33:35 +0000 2020,,empty,fr,est-il arrivé séquence issue nuit temps pourtant,1,RT @DidierMaisto: Que nous est-il arrivé ? Cette séquence semble issue de la nuit des temps. Et pourtant... @GaccioB,,
1327903005916721153,Sun Nov 15 09:15:22 +0000 2020,"Paris, France",empty,fr,samedi soir pleine crise sénat profite d'un amendement faire rentrer petite porte rejetée français procédé fripouille piétiner volonté peuple droits travailleurs scélérats,34,"Un samedi soir, en pleine crise du #COVID19 la droite au Sénat profite d'un amendement pour faire rentrer par la petite porte la #ReformeDesRetraites rejetée par les français. Procédé de fripouille, pour piétiner la volonté du peuple et les droits des travailleurs. Scélérats ! https://t.co/s39O9Xz20r",,covid19 reformedesretraites
1327765842092822529,Sun Nov 15 00:10:20 +0000 2020,Partout,empty,fr,flash librairie définitivement fermer mars grande librairie permettait milliers d’avoir accès livres d’occasion sauvée suite lepoint,10,"🇫🇷 FLASH - La librairie #GibertJeune devrait définitivement fermer en mars. Plus grande librairie de #Paris, elle permettait à des milliers de personnes d’avoir accès à des livres et BD d’occasion. Elle ne devrait pas être sauvée suite au #Covid19... (LePoint) https://t.co/iD4eN44Pxn",🇫🇷,gibertjeune paris covid19
1327922696911511552,Sun Nov 15 10:33:37 +0000 2020,Canapé Stadium,empty,fr,900 médecins scolaires millions d'élèves 800.000 profs réalité sanitaire éta…,1,Il y a 900 médecins scolaires pour plus de 12 millions d'élèves et 800.000 profs. La réalité sanitaire dans les éta… https://t.co/2UJ1rfvv51,,
1327922703265837056,Sun Nov 15 10:33:38 +0000 2020,,empty,fr,est-on sûr bout fil souffre d'isolement télétravail,1,Est-on sûr que la personne au bout du fil ne souffre pas elle aussi d'isolement au télétravail ? #ConfinementActe2… https://t.co/i1abVABMRh,,confinementacte2
1327619997989031937,Sat Nov 14 14:30:48 +0000 2020,Suisse,"{'type': 'Polygon', 'coordinates': [[[6.205513, 46.355793], [6.205513, 46.406548], [6.27335, 46.406548], [6.27335, 46.355793]]]}",fr,mère ans contact étroit frère positif l'attente d'un test lundi explique cheffe qu'il prudent aller travailler reçoit messages appels pressions travailler,89,"Ma mère, 51 ans, a été en contact étroit avec mon frère, positif au #COVID19. Dans l'attente d'un test lundi, elle explique à sa cheffe qu'il est plus prudent de ne pas aller travailler. Elle reçoit depuis messages, appels et pressions pour quand même travailler. (1)",,covid19
1327852747559931905,Sun Nov 15 05:55:39 +0000 2020,,empty,fr,bonne lecture journalistes étrangers informent mieux france,8,#reformedesretraites Bonne lecture. Ce sont les journalistes étrangers qui informent le mieux sur la France... #EtPendantCeTemps #Covid19 #Confinement2 https://t.co/Eg4VgKDvNr,,reformedesretraites etpendantcetemps covid19 confinement2
1327922720475144192,Sun Nov 15 10:33:42 +0000 2020,Les Mots ont un sens,empty,fr,menti cacher faillite sanitaire,1,Là aussi ils ont menti pour cacher la faillite sanitaire,,
1327922721636937728,Sun Nov 15 10:33:43 +0000 2020,Bordeaux,empty,fr,pose,1,RT @codjinLA: Je pose ça là...  #COVID19 #Pfizervaccine #Holdup https://t.co/7KOHC9IpdX,,covid19 pfizervaccine holdup
1327922727550918656,Sun Nov 15 10:33:44 +0000 2020,,empty,fr,système biden importé france,1,RT @AldoSterone111: Le système Biden sera importé en France,,
1327922728037478400,Sun Nov 15 10:33:44 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,RT @S_LeGoff: Je n’ose imaginer les réactions si cela avait été des musulmans devant une mosquée,,
1327922731594211328,Sun Nov 15 10:33:45 +0000 2020,91,empty,fr,n’ose imaginer réactions musulmans mosquée,1,RT @S_LeGoff: Je n’ose imaginer les réactions si cela avait été des musulmans devant une mosquée,,
1327922735465500679,Sun Nov 15 10:33:46 +0000 2020,Nantes ,empty,fr,mdrrrr voulez déconfinés noël,1,RT @jesuisskeeter: Mdrrrr on a compris que vous voulez déconfinés pour Noël y a r,,
1327916983271256064,Sun Nov 15 10:10:54 +0000 2020,En Riposte ... ou pas. ,empty,fr,lutter vidéo gouvernement allemand sous-titré anglais c'est top,52,Comment lutter contre le #coronavirus ... Vidéo du gouvernement allemand sur le #COVID19 (sous-titré en anglais). Et c'est top 👍 https://t.co/7UFCfkTFDY,👍,coronavirus covid19
1327922745406009344,Sun Nov 15 10:33:48 +0000 2020,,empty,fr,france pays mensonges d'etat source conseiller pouvoir,1,"RT @marcendeweld: ""La France, ce pays des mensonges d'Etat"". Source : un conseiller du pouvoir.",,
1327921786843922432,Sun Nov 15 10:30:00 +0000 2020,"France, Paris",empty,fr,totale mobilisation faire respecter mesures sanitaires vigueur rôle jouer face propagation virus restez maximum limitez déplacements strict minimum,5,#COVID19 | Totale mobilisation de la @prefpolice afin de faire respecter les mesures sanitaires en vigueur. 💪 Nous avons tous un rôle à jouer face à la propagation du virus ! Le vôtre ? Restez chez vous au maximum et limitez vos déplacements au strict minimum. https://t.co/mcSsH0sGYK,💪,covid19
1327922762090942466,Sun Nov 15 10:33:52 +0000 2020,,empty,fr,c'est,1,RT @DecerebreLREM: C'est trop bien la Droite.....😂😂😂,😂😂😂,
1327922771033268226,Sun Nov 15 10:33:54 +0000 2020,Paris,empty,fr,connards connasses,1,"RT @mtehlo: Les CONNARDS, LES CONNASSES😡😡😡😡😡😡😡 https://t.co/ckCTX5NQQu",😡😡😡😡😡😡😡,
1327922772891357184,Sun Nov 15 10:33:55 +0000 2020,"Lyon, France",empty,fr,l’équipe chercheurs question,1,RT @Spoklm: L’équipe de chercheurs en question : https://t.co/a6sBLQzOz2,,
1327603460628418561,Sat Nov 14 13:25:05 +0000 2020,"Paris, France",empty,fr,imaginez minute musulmans demandent réouverture mosquées juifs synagogues,7,Imaginez une minute que des musulmans demandent la réouverture de leurs mosquées ou des juifs celle de leurs synagogues de cette façon la ..... ;),,
1327906841939087360,Sun Nov 15 09:30:37 +0000 2020,"Paris, France",empty,fr,samedi politique n'a préparer hôpitaux services fermés docteur gérard delépine l'émission,3,"🎥 [LE SAMEDI POLITIQUE]  #COVID19 : ""Lors du premier #confinement, rien n'a été fait pour préparer les hôpitaux. Certains services ont même été fermés !"" - Docteur Gérard Delépine L'émission➡ https://t.co/MKqQ3h0LaB https://t.co/df3i5zyxKY",🎥➡,covid19 confinement
1327922789366575104,Sun Nov 15 10:33:59 +0000 2020,,empty,fr,dieu faut respecter distanciation physique mystique,1,RT @Seth75954208: #catholiques #musulmans  Dieu a le #COVID19  Il faut respecter la distanciation physique et mystique,,catholiques musulmans covid19
1327887932317986816,Sun Nov 15 08:15:28 +0000 2020,"Paris, France",empty,fr,front l’épidémie focus soi-disantes bonnes nouvelles m’effraient 354 décédées hier france total 356 morts continue 1ère cause mortalité france hausse mortalité 2019,3,"Sur le front de l’épidémie de #COVID19, le focus sur les soi-disantes bonnes nouvelles m’effraient : il y a quand même eu 354 personnes décédées hier en France. Au total : 44 356 morts et ça continue. 1ère cause de mortalité en France. Hausse de 10% de la mortalité vs 2019 !!!",,covid19
1327922794399674368,Sun Nov 15 10:34:00 +0000 2020,,empty,fr,c’était suffisamment merde fallait remettre couche visiblement sens timing,1,RT @gblardone: C’était pas suffisamment la merde fallait en remettre une couche visiblement. Toujours le sens du timing LR.,,
1327922794449965056,Sun Nov 15 10:34:00 +0000 2020,Glamazon,empty,fr,hey lutin fallu travailler dur semaines revoir copie commerces mais…,1,"Hey le lutin, il aurait fallu travailler dur au moins 6 semaines avant et revoir sa copie sur les commerces ! Mais… https://t.co/NhXo2js5gL",,
1327922800842182656,Sun Nov 15 10:34:01 +0000 2020,,empty,fr,séparatistes,1,Oh les séparatistes,,
1327906113971478528,Sun Nov 15 09:27:43 +0000 2020,IdF,empty,fr,répète tué 000 france printemps n'y 000 certificats décès mentionnant l'une causes décès surmortalité mars avril vrai chiffre 20000,12,"On répète souvent que la #Covid19 aurait tué plus de 30 000 personnes en France au printemps. Mais il n'y a eu que 12 000 certificats de décès mentionnant le #coronavirus comme l'UNE des causes de décès. Surmortalité seulement en mars et avril, le vrai chiffre est environ 20000 https://t.co/s2jmcReC7N",,covid19 coronavirus
1327922803312648193,Sun Nov 15 10:34:02 +0000 2020,,empty,fr,coronavirus belgique novembre hospitalisations baisse,1,RT @RTBFinfo: Coronavirus en Belgique ce 15 novembre: les hospitalisations toujours en baisse #Coronavirus #Covid19 https://t.co/2ESBkd21uM,,coronavirus covid19
1327552971547308032,Sat Nov 14 10:04:27 +0000 2020,,empty,fr,commerçants indépendants tpe/pme l'état côtés affronter crise saisissez-vous aides mises disposition fonds solidarité exonérations cotisations sociales prêts garantis l'état aide paiement loyer novembre,4,"#COVID19 | Commerçants, indépendants, TPE/PME, l'État est à vos côtés pour affronter cette crise. Saisissez-vous des aides mises à votre disposition : fonds de solidarité, exonérations de cotisations sociales, prêts garantis par l'État, aide au paiement du loyer de novembre. ⤵️ https://t.co/MG1Boi034c",⤵,covid19
1327922804566712321,Sun Nov 15 10:34:02 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,RT @S_LeGoff: Je n’ose imaginer les réactions si cela avait été des musulmans devant une mosquée,,
